id,date,text
biden_3_61,2023-03-11 00:00:00,"Because of our economic plan, unemployment has been below 4% since January 2022. Last month, the unemployment rate remained near the lowest level in 50 years. 

That means people are coming off the sidelines and getting back into the job market."
biden_3_62,2023-03-11 00:00:00,"Two years ago today, I signed the American Rescue Plan into law. 

It helped get our economy back on track, vaccinate over 230 million Americans, and keep police on the job"
biden_3_63,2023-03-11 00:00:00,My budget would restore the expanded Child Tax Credit. https://t.co/ezVpOfEgPH
biden_3_64,2023-03-10 00:00:00,"My budget protects and strengthens Social Security and Medicare.

It rejects any cuts, extends the solvency of the Medicare Trust Fund by at least 25 years, and invests in service delivery so seniors and people with disabilities can access the benefits they have earned."
biden_3_65,2023-03-10 00:00:00,"I'm happy to report that our economy created over 300,000 new jobs last month, on top of half a million jobs we added the month before. 

We've created over 12 million jobs since I took office"
biden_3_66,2023-03-10 00:00:00,"RT @POTUS: Extreme MAGA House Republicans are showing us what they value: tax breaks for the rich.
 
They demand the biggest Medicare benef…"
biden_3_67,2023-03-10 00:00:00,"My budget proposes a billionaire minimum tax, requiring the wealthiest Americans to pay at least 25% on all of their income, including appreciated assets"
biden_3_68,2023-03-10 00:00:00,"My budget would reduce the deficit by $3 trillion over 10 years.

Republicans’ plans would explode the deficit by more than $3 trillion over 10 years."
biden_3_69,2023-03-10 00:00:00,I will protect Social Security and Medicare. https://t.co/3qZoM7UBkU
biden_3_70,2023-03-10 00:00:00,"It's time to finish the job and build on our ambitious progress with new investments in America's future. 

My 2024 Budget is a blue-collar blueprint to rebuild America in a fiscally responsible way that leaves no one behind."
biden_3_71,2023-03-09 00:00:00,"My budget would keep growing our economy by investing in the foundation of its strength: the American people. 

That means helping families by providing paid family and medical leave and restoring the full Child Tax Credit, which cut child poverty in half in 2021."
biden_3_72,2023-03-09 00:00:00,"RT @POTUS: I ran for president with a plan to make our economy work for the middle class again.
 
Today, I’m laying out the next part of th…"
biden_3_73,2023-03-08 00:00:00,"When Medicare was passed, the wealthiest 1% didn’t have more than 5x the wealth of the bottom 50% combined. Let’s ask the wealthiest to pay their fair share so the millions of workers who helped them build that wealth can retire with dignity and the Medicare they paid into."
biden_3_74,2023-03-08 00:00:00,"The right to vote and to have your vote counted is the threshold of democracy and liberty.
 
With it, anything is possible. 
Without it, nothing is possible."
biden_3_75,2023-03-08 00:00:00,"RT @POTUS: I wish the happiest Holi to those celebrating love, laughter, goodness, and the arrival of spring during today’s Festival of Col…"
biden_3_76,2023-03-08 00:00:00,"My budget will build on drug price reforms by strengthening Medicare’s newly established negotiation power, allowing Medicare to negotiate prices for more drugs and bringing drugs into negotiation sooner after they launch. 

That’s another $200 billion in deficit reduction."
biden_3_77,2023-03-07 00:00:00,"If the MAGA Republicans get their way, seniors will pay higher out-of-pocket costs on prescription drugs and insulin, the deficit will be bigger, and Medicare will be weaker. 

The only winner under their plan will be Big Pharma."
biden_3_78,2023-03-07 00:00:00,"No matter how hard some people try, we can’t just choose to learn what we want to know and not what we should know.
 
We should learn everything"
biden_3_79,2023-03-07 00:00:00,"The budget I am releasing this week will make the Medicare trust fund solvent beyond 2050 without cutting a penny in benefits.
https://t.co/9M8QqWNNMY"
biden_3_80,2023-03-06 00:00:00,"Our plan is working. It's growing the economy, reducing the deficit, and it's fiscally responsible. 

There's more work to do, but we're making progress."
biden_3_81,2023-03-06 00:00:00,"RT @POTUS: A vote is an act of hope – but it’s also about making real improvements in our everyday lives.
 
Voting is the path to good jobs…"
biden_3_82,2023-03-05 00:00:00,"RT @POTUS: Join me as I deliver remarks on the importance of commemorating Bloody Sunday in Selma, Alabama. https://t.co/Izs4gtw9zC"
biden_3_83,2023-03-05 00:00:00,"Last year, I signed the Inflation Reduction Act to cap the cost of insulin at $35 for seniors on Medicare, and I called on pharma companies to bring prices down for everyone on their own. 

Eli Lilly did that. It's a big deal, and it's time for other manufacturers to follow."
biden_3_84,2023-03-04 00:00:00,"I called on prescription drug companies to bring down the price of insulin to $35 for everyone on their own, and Eli Lilly did just that. https://t.co/Nxut3lJnCl"
biden_3_85,2023-03-04 00:00:00,"If MAGA Republicans try to take away people’s health care by gutting Medicaid and the Affordable Care Act, I will stop them."
biden_3_86,2023-03-04 00:00:00,The CHIPS and Science Act has helped lead to a commitment of over $300 billion in investments in manufacturing in the United States.
biden_3_87,2023-03-03 00:00:00,"We capped the cost of insulin at $35 a month for seniors on Medicare, but millions of other Americans who are not on Medicare need this insulin to stay alive.

This week, Eli Lilly announced that they’re lowering their insulin prices to $35 a month. 

Let’s keep it going."
biden_3_88,2023-03-03 00:00:00,"Republicans have been trying to undo the Affordable Care Act since it passed 13 years ago, which could put nearly 40 million Americans in danger of losing health coverage completely."
biden_3_89,2023-03-02 00:00:00,This is what progress looks like. https://t.co/YcGXglu6V2
biden_4_90,2023-03-02 00:00:00,"We're going to keep building an economy that's fair, competitive, and works for everyone. 

Congress should pass the Junk Fee Protection Act to give hardworking Americans more breathing room."
biden_4_91,2023-03-02 00:00:00,"Insulin costs under $10 to make, but Americans are sometimes forced to pay over $300 for it. It’s wrong.

I signed a law capping the cost of insulin at $35 a month for seniors and called on Congress and manufacturers to bring down prices for everyone. Now, they’re taking action. https://t.co/eMrCB69bTJ"
biden_4_92,2023-03-02 00:00:00,"Last year, I signed the Inflation Reduction Act to cap insulin at $35 a month for seniors and called on pharma companies to bring prices down for everyone on their own. 

Today, Eli Lilly did that. It’s a big deal, and it’s time for other manufacturers to follow."
biden_4_93,2023-03-01 00:00:00,Republicans have tried to repeal the Affordable Care Act since it passed. Repealing it could mean that more than 100 million Americans with pre-existing conditions could lose the critical protections they have now.
biden_4_94,2023-03-01 00:00:00,"We passed the Inflation Reduction Act to cap the cost of insulin at $35 a month for seniors on Medicare, but there was more work to do.  

I called on Congress and manufacturers to lower insulin prices for everyone, and Eli Lilly is taking action."
biden_4_95,2024-01-01 00:00:00,"As we close out Black History Month, we recognize the immeasurable contributions of Black Americans, honor the legacies and achievements of generations past, reckon with centuries of injustice, and confront those injustices that still fester today."
biden_4_96,2024-01-01 00:00:00,"When I travel the country, I see optimism for this year and the years ahead.

The optimism of families with a little more breathing room, of Americans applying to start small businesses, or of a grandmother on Medicare whose insulin costs are capped at $35 per month."
biden_4_97,2024-01-01 00:00:00,"Some House Republicans have supported raising costs by repealing the Inflation Reduction Act, cutting taxes for the wealthy and large corporations, and cutting programs that seniors and families count on.

I have a different vision."
biden_4_98,2024-01-01 00:00:00,We will protect Medicare and Social Security. https://t.co/nXYOld2yas
biden_4_99,2024-01-01 00:00:00,I will veto it. https://t.co/8QkMxkHYKO
biden_4_100,2024-01-01 00:00:00,"Over the last two years, more Americans applied to start a small business than any two years on record. Our economic plan is working."
biden_4_101,2024-01-01 00:00:00,"Thanks to the Inflation Reduction Act we passed last year, we are lowering prescription drug costs, health care costs, and home energy costs for tens of millions of Americans"
biden_4_102,2024-01-01 00:00:00,It’s an American issue. https://t.co/4IRKKQg7dO
biden_4_103,2024-01-01 00:00:00,"While we have made progress on inflation, we have more work to do"
biden_4_104,2024-01-01 00:00:00,"RT @POTUS: Today, a year after bombs began to fall, Ukraine is still independent and free.
 
From Kherson to Kharkiv – Ukrainian fighters h…"
